credito,genero,educacao,estado_civil,idade,pgto_set,pgto_ago,pgto_jul,pgto_jun,pgto_mai,pgto_abr,fatura_set,fatura_ago,fatura_jul,pgto_amt_set,pgto_amt_ago,pgto_amt_jul,pgto_amt_jun,pgto_amt_mai,pgto_amt_abr,Y
60000,2,2,1,33,0,0,0,0,0,0,58203,36367,20934,1506,1298,1000,721,811,599,0
200000,2,2,2,33,0,0,0,0,0,0,11253,12852,14024,2000,1322,2000,2000,1200,3000,0
440000,2,2,1,46,0,0,0,0,0,0,180641,181557,149944,8610,6907,3727,3800,4001,2701,0
240000,2,2,1,46,0,0,0,0,0,0,8751,9900,10605,1295,1000,1000,1000,1000,1000,0
10000,1,2,2,27,0,0,2,0,0,0,7015,10227,9560,3507,0,500,370,393,700,0
210000,2,2,1,36,0,0,0,0,0,0,143225,142996,144415,6483,5082,6000,5900,4544,4700,0
180000,1,2,2,29,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
150000,1,1,1,40,2,2,2,2,2,2,99855,102586,100064,5200,0,8100,4000,4200,4200,1
50000,2,2,1,31,0,0,0,0,0,0,46512,47716,49675,1974,4406,1061,1073,1046,1047,0
200000,1,1,1,36,1,-2,-1,-1,-2,-1,-14386,-13543,3432,10118,47015,0,4000,100000,10000,0
50000,2,2,1,37,2,2,2,0,0,0,1894,3200,3381,1500,400,200,500,500,400,1
350000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
60000,2,3,3,42,0,0,0,0,0,0,41322,29091,28097,1488,1394,962,1500,2541,2000,0
200000,1,1,1,52,-2,-2,-2,-2,-2,-2,3858,2690,3410,2690,3487,0,0,85900,396,0
320000,2,1,2,27,0,0,0,0,0,0,55607,62893,59001,11404,8232,10450,9697,16477,11341,0
280000,1,1,2,31,0,0,0,0,0,0,168382,175646,180650,10000,8000,6371,6217,5947,6288,0
50000,2,3,1,35,-1,-1,-1,-2,-2,-2,22500,5000,0,5000,0,0,0,0,640,0
230000,2,2,2,38,-1,-1,-1,-1,-1,-1,10237,2795,1350,2795,1350,371,2980,0,2213,0
490000,2,2,1,30,0,0,0,0,0,0,192586,197967,201666,10000,7143,7306,6303,6429,6000,0
80000,2,2,1,32,-1,-1,-2,-2,-2,-2,11262,0,0,0,0,0,0,0,0,0
110000,1,3,1,37,0,0,0,0,0,0,61807,62499,62162,2300,2200,2300,2200,2300,2300,0
50000,2,1,1,25,0,0,0,0,0,0,51044,50231,46677,2500,3008,1000,761,800,704,0
200000,1,4,1,42,0,0,0,0,0,0,38564,38246,32253,5000,1485,1956,1500,0,2102,0
260000,1,2,2,37,0,0,0,-1,0,0,255691,262736,36638,14000,5022,130000,7000,6000,6000,0
80000,1,2,2,42,0,0,0,0,0,0,78129,28202,78553,2500,51432,1800,1800,1800,1700,0
50000,1,1,2,32,-1,0,0,0,0,-2,23974,24131,25326,1800,1900,1300,0,0,0,0
230000,1,1,1,59,-1,0,0,0,0,0,208459,206331,203813,7536,7277,7100,7120,6844,6945,0
180000,1,2,1,34,-1,-1,-1,-1,-1,-1,2927,2790,1140,2790,1140,2144,1180,1382,2440,0
320000,1,2,1,39,0,0,0,0,0,0,93768,91523,91579,3317,3506,4218,5000,6080,938,0
80000,2,1,1,28,0,0,0,0,0,0,8574,9434,10038,1203,1047,248,408,294,276,0
50000,1,2,1,47,0,0,0,0,0,0,13917,16695,21320,3000,5000,2000,618,679,500,0
20000,1,2,2,27,1,2,0,0,0,2,18649,18066,19040,0,1594,1000,1606,0,300,0
620000,2,2,1,45,2,2,0,0,0,0,160837,156839,160440,0,6200,6000,6000,6500,6000,1
100000,2,3,1,50,2,0,0,3,3,2,53849,55030,61574,2050,7500,2500,0,2500,2500,1
200000,2,1,2,38,-1,-1,-2,-2,-1,-1,399,0,0,0,0,0,218,270,317,0
30000,2,2,1,36,2,3,2,2,0,0,28778,28039,28286,0,1000,0,1100,1100,1500,1
270000,1,1,2,34,-1,-1,0,-1,-1,-1,5780,12006,15736,12006,5736,6621,2457,14923,1712,0
90000,2,1,2,24,0,0,0,0,0,0,13141,14526,15482,1600,1500,3000,5000,1020,764,0
130000,2,2,2,29,0,0,0,0,0,0,131575,130931,132969,6700,6000,1291,1319,1336,1365,0
210000,2,3,2,31,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
100000,1,3,2,49,-1,-1,-2,-2,-2,-2,1440,0,0,0,0,0,0,0,0,0
50000,2,2,2,23,0,0,0,0,0,2,26795,28056,29284,2000,2000,2000,4000,0,2000,0
50000,1,2,1,41,0,0,0,0,0,0,21986,21520,20979,1362,1294,682,680,694,618,0
10000,1,2,2,33,0,0,0,0,0,0,8177,9131,9669,2500,1145,1000,1000,1000,1500,0
160000,2,1,1,33,-2,-2,-2,-2,-2,-2,14150,8106,12431,8106,12431,12145,13391,7957,1905,0
140000,2,1,2,37,-1,-1,-1,-2,-2,-1,1034,40000,0,40000,0,0,0,510,0,0
100000,2,1,2,28,2,0,0,0,0,0,96193,82342,81967,3600,3800,3000,3000,3023,3000,1
170000,2,2,2,27,0,0,0,0,0,0,162671,166202,161973,7500,6000,10000,7000,16000,6200,0
150000,1,2,2,35,0,0,0,-1,-1,-1,60015,72227,51364,20000,30000,54340,0,2129,0,0
90000,2,2,2,34,-1,2,2,-2,-2,-2,8792,7500,0,0,0,0,0,0,0,0
30000,2,2,2,22,0,0,2,0,0,0,23892,28459,25499,5300,0,1000,3352,2300,0,0
60000,1,1,2,29,-1,2,-1,-1,2,2,546,255,464,0,500,1000,0,582,0,0
140000,2,2,2,24,-1,-1,-2,-1,-1,-2,197,0,0,0,0,233,0,0,0,0
20000,1,2,1,33,0,0,0,0,0,0,11026,9535,10510,1174,1149,501,356,507,458,0
370000,2,1,2,38,-1,-1,-1,-1,-1,-1,929,328,0,328,0,1539,1815,0,0,0
230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
280000,2,2,1,39,0,0,2,0,0,0,213738,228963,223810,20300,0,5600,6300,4000,4000,0
30000,2,3,2,53,-1,-1,-1,-1,-1,-1,1598,2487,0,2487,0,4810,2796,3245,7305,0
420000,1,2,1,34,0,0,0,0,0,0,88948,79783,80575,30000,10575,15000,10000,10000,20000,0
500000,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
310000,1,1,2,30,-2,-2,-2,-2,-2,-2,1544,1648,1284,1300,1000,1000,1000,304,39544,0
170000,2,1,2,28,2,2,2,2,2,2,131864,133897,129761,5600,0,11000,0,11000,5656,0
200000,2,2,1,32,-1,-1,-1,-1,-1,-1,5150,10190,10190,10190,10190,10190,10594,11193,10190,0
50000,2,2,2,23,-2,-2,-2,-2,-2,-2,3779,3944,2118,3955,2124,2266,3638,1303,0,0
30000,1,1,1,27,-1,0,0,0,0,-2,12897,13484,6655,2011,2211,2101,148,0,0,0
30000,1,2,2,30,-1,0,0,0,0,0,27826,28672,29622,1600,1500,1000,1000,1000,1000,0
50000,2,2,2,22,0,0,0,0,0,0,49609,61162,31485,2100,2000,4000,3000,1500,1000,0
20000,1,2,2,25,1,2,2,0,0,0,6174,7543,7255,2000,28,0,2000,0,0,1
100000,1,2,1,29,0,0,0,0,-1,-1,94453,95860,67782,3320,5000,0,100000,7186,0,0
200000,2,2,2,36,-1,-1,-1,-2,-2,-1,1371,4068,0,4077,0,0,0,980,0,0
180000,2,3,3,45,-1,-1,-2,-2,-2,-2,4148,0,0,0,0,0,0,0,0,0
30000,2,1,2,23,0,0,0,0,0,0,26847,24815,21681,2500,3500,2000,3500,2000,1000,0
110000,1,2,2,31,2,2,3,3,2,-1,279,279,279,0,0,0,0,200,0,1
400000,2,3,1,39,1,-1,-1,-1,-2,-1,2384,3500,471,3603,471,203,2574,1949,1040,0
210000,2,3,2,46,1,2,0,0,-1,-1,5816,5579,20079,13,17309,0,2310,241,4000,0
150000,2,3,2,28,-2,-1,-1,-1,-1,-1,1723,2292,240,6876,240,683,3486,5390,1200,0
160000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
50000,1,2,1,41,0,0,0,0,0,0,19339,20424,20086,1703,1306,810,1000,900,900,0
200000,2,1,1,39,-1,0,-1,0,0,0,8432,6977,6727,3746,6737,2013,10,20,10901,0
50000,1,2,1,52,-1,2,0,0,0,0,2072,1532,3106,0,2000,5,0,0,0,0
80000,1,3,1,62,-1,-1,-1,-1,-1,-1,1262,1642,1975,1642,1975,672,5112,3932,20289,0
220000,2,3,1,38,-1,-1,-1,-1,-1,-1,20000,3450,5516,3450,5549,50019,28800,8561,16599,0
20000,1,3,2,22,0,0,0,-2,-2,-2,19624,16972,0,1000,0,0,0,0,0,0
50000,2,2,2,22,0,0,0,0,0,0,50834,50770,50215,2200,1517,1000,1500,2005,1305,0
500000,1,1,1,45,-1,-1,-1,-1,-1,-2,140,94,39,94,39,44,0,0,790,0
180000,2,1,2,28,-1,-1,-1,-1,-1,0,950,4369,9673,4369,9673,3260,13959,3000,18396,0
150000,2,3,1,43,-1,-1,2,0,-1,-1,264,948,632,1000,0,0,316,1414,0,0
180000,2,2,2,32,0,0,0,0,0,0,20730,17107,35884,1582,30000,1000,1000,1000,1000,0
370000,2,1,1,53,-1,-1,-1,-1,-1,0,21160,8153,12094,8162,12294,30751,30131,0,0,0
10000,2,3,2,22,0,0,2,0,0,0,10012,9784,9473,2452,7,308,320,328,1000,0
100000,2,1,1,35,0,0,0,0,0,0,57612,58818,60841,2134,3000,2200,2300,5000,3000,0
360000,2,1,1,42,0,0,0,0,0,0,179851,186961,201703,10005,20117,15018,10027,20057,17000,0
170000,1,2,1,48,0,0,0,0,0,0,137823,137199,136331,5396,5000,5000,5000,5000,4000,0
50000,2,3,1,53,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
200000,2,1,1,34,-2,-2,-2,-2,-2,-2,267,6794,10430,6817,10671,3576,2522,934,7764,0
20000,2,2,2,26,2,-1,0,0,0,0,1041,10757,11094,10758,2679,502,224,513,9,1
10000,2,2,2,49,1,2,0,0,0,0,8184,5011,5728,0,1000,0,0,0,0,0
260000,2,2,1,37,2,2,2,0,0,0,244738,251351,244949,12000,0,11000,4321,20000,27,1
70000,1,1,2,28,0,0,0,0,0,0,67857,69711,64947,3000,1500,13959,3000,1500,4000,0
60000,1,2,1,37,3,4,3,2,2,2,30381,29986,29210,366,0,1300,1400,2400,2300,1
170000,2,1,2,30,-1,0,-1,-1,0,-1,1560,1280,590,1000,590,1168,1582,145564,5069,0
140000,2,3,2,23,-2,-2,-2,-2,-2,-2,67505,36772,38399,2000,2400,2132,1617,515,2031,0
210000,2,2,2,45,-2,-2,-2,-2,-2,-2,467,2050,416,2050,416,416,416,416,416,0
210000,2,1,1,37,2,2,2,2,2,2,76089,77985,79104,3700,3000,3200,2500,3400,4300,1
50000,2,1,1,29,0,0,0,0,0,0,50486,50035,49388,2200,1192,1000,2000,1000,1500,0
50000,1,2,2,54,1,2,0,0,0,0,48153,46885,27168,0,1400,1200,1500,1000,1500,0
290000,2,1,2,33,-1,-1,-1,-1,-1,-1,413,486,820,486,820,60,1773,3904,0,0
50000,1,2,1,54,-2,-2,-2,-2,-2,-2,1583,2134,0,2134,0,2025,0,1924,0,0
200000,2,1,2,27,0,0,0,0,0,0,157607,155693,155290,7194,6760,5018,5370,5294,5300,0
160000,2,3,2,29,1,-2,-2,-2,-2,-2,0,0,4150,0,4150,2065,0,500,0,0
340000,2,2,1,36,0,0,0,0,0,0,167474,155293,134467,7106,4435,4091,3548,4535,4127,0
60000,1,2,1,41,0,0,0,0,0,-1,48979,41597,29347,5070,1219,1007,8,9381,1156,0
60000,1,2,2,40,3,3,5,4,3,2,9744,10940,10630,1500,0,0,0,500,0,1
360000,2,2,1,50,-1,-1,-1,-1,-1,-1,147,686,6037,686,6041,1560,0,275,0,0
320000,2,1,1,34,-2,-1,0,-1,-1,-1,65083,23750,22381,23750,10162,14702,7511,6722,10000,0
240000,2,3,1,38,0,0,2,0,0,0,107148,113396,110084,9500,0,4019,4317,4204,4314,0
150000,1,2,1,33,1,2,2,0,0,2,8967,11510,12022,3001,1000,1000,1700,0,1000,0
240000,2,2,1,42,0,0,0,2,0,0,21943,36519,55515,15000,20000,3330,30000,10000,10000,0
190000,2,3,1,38,0,0,0,0,0,0,89619,103095,110000,15000,10000,5674,11313,5538,18272,0
100000,2,1,1,43,-1,-1,-1,-1,-1,-1,9122,22971,15537,22982,15561,27091,8423,37259,16751,0
90000,2,1,2,27,-2,-2,2,2,-2,-2,1179,6346,4607,7020,2980,3000,0,0,0,0
290000,2,1,1,50,0,0,0,0,0,0,165563,128747,120469,7000,10009,5000,5000,5000,10000,0
390000,1,2,1,40,1,2,0,0,0,0,424244,395060,258372,587,9500,30140,4235,1998,25226,0
80000,2,2,2,25,0,0,0,0,0,0,81003,85894,87061,8213,3491,3508,19523,3288,1570,0
300000,1,1,2,31,-1,-1,-1,-1,0,-1,2166,2894,8903,2918,8974,12457,15113,8369,3832,0
60000,2,2,1,42,2,2,0,0,0,0,57598,50821,19638,0,2000,2000,1000,20000,10000,1
140000,1,1,1,54,0,0,0,0,0,0,139406,140295,134000,5545,4200,3105,86417,3936,48390,0
50000,2,1,2,22,0,0,0,0,0,0,49459,49281,50071,2300,2000,1000,500,1000,500,0
250000,2,2,1,31,0,0,0,0,0,0,42441,43061,29385,4000,3000,901,63000,2700,2000,0
260000,2,2,1,40,0,0,0,0,0,0,243196,258720,178102,20008,7500,3000,3500,3605,3750,0
80000,2,2,1,36,0,0,0,0,0,0,20366,21084,22411,1352,1679,1892,870,2096,0,0
20000,1,2,2,27,0,0,0,0,0,-2,18290,20144,19106,2458,1200,386,1000,0,0,0
50000,1,2,2,25,2,2,0,0,0,2,7180,6922,7849,0,1200,300,1000,0,1000,1
330000,2,1,1,47,1,-2,-2,-2,-2,-1,2246,13990,20992,13990,21060,681,0,5180,3820,0
80000,1,3,1,48,0,0,0,0,0,0,71515,70287,61892,3679,2305,924,1069,1100,1110,0
80000,2,1,2,22,-1,-1,0,0,-2,-2,10439,11501,12113,11501,1000,33,2871,90,0,0
400000,1,2,1,34,0,0,0,0,0,2,52271,56788,60049,6000,5000,1902,5000,0,5000,0
120000,2,3,2,37,-1,-1,-1,-1,-1,-1,776,1616,776,1616,776,776,776,776,776,0
230000,2,1,2,27,0,0,0,0,0,0,105217,107857,110177,4326,4533,2337,3035,3034,3101,0
300000,2,3,1,31,-1,-1,-1,-1,-1,-1,331,331,331,332,332,332,0,200,0,0
100000,2,2,1,58,0,0,0,0,0,0,101249,101476,94893,3642,4230,10000,3582,5000,4133,0
50000,1,2,2,53,0,0,0,0,0,0,18922,19486,19917,1329,1310,680,705,728,690,0
150000,2,2,2,37,0,0,0,0,0,0,86037,84679,82490,5000,5000,4000,3500,3000,4000,0
160000,1,1,1,40,1,-1,-1,-1,-1,-1,0,567,4027,567,4059,3100,2123,4899,3165,0
110000,2,1,2,29,0,0,0,0,0,0,48088,45980,44231,2000,2010,3000,3000,3000,1000,0
180000,2,3,1,39,2,0,0,-2,-2,-2,172488,72050,0,3450,0,0,0,0,0,1
150000,1,1,2,28,-1,2,2,-2,-2,-2,1111,820,-311,0,0,0,0,0,0,0
500000,1,1,1,46,0,0,0,0,0,0,407331,403816,386053,15043,14000,14003,14011,15003,14009,0
420000,2,2,2,35,-1,-1,-1,-1,-1,-1,7572,18847,16615,18920,16615,14156,9058,3281,5971,0
100000,2,2,1,31,0,0,-1,-1,0,-1,92265,93873,1473,5000,1473,2946,0,540,780,0
90000,2,3,1,40,0,0,0,0,0,0,89928,81721,76947,3416,4142,1700,1888,2710,1500,0
10000,1,2,2,33,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
160000,1,1,1,41,0,0,0,-2,-1,0,53935,57997,-3,5000,0,0,2990,6,2409,0
340000,2,1,1,36,0,0,0,0,0,0,185268,326074,276519,160444,10143,7190,6283,5208,4177,0
260000,2,1,2,36,-2,-2,-2,-2,-1,-1,1891,2438,2280,2637,2280,746,1989,1668,2605,0
100000,1,1,1,36,0,0,0,0,0,0,23070,18806,20183,1700,2000,2000,5000,0,0,0
220000,2,1,1,42,2,2,2,2,2,2,2500,2500,2500,0,0,0,0,0,0,1
100000,2,2,2,37,0,0,0,0,0,0,107669,107529,73323,3536,2821,3963,3147,2670,725,0
170000,1,2,2,26,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
20000,1,3,2,52,0,0,2,0,0,0,16735,20373,12071,4008,0,1000,1600,600,532,0
200000,1,2,1,42,0,0,0,0,0,0,68670,69702,70015,4000,4000,5000,2563,5000,5000,0
50000,2,2,1,36,2,0,0,0,0,0,50922,50367,41627,1715,1991,1661,1566,3526,0,1
30000,2,2,1,24,2,2,0,0,0,0,31214,28983,28301,0,1400,3561,483,80,0,1
180000,2,2,1,39,0,0,0,0,0,0,65710,58159,60188,2500,3000,2500,2500,2500,3000,0
10000,2,2,2,22,-1,-1,-1,-1,0,-1,5208,654,9954,654,9954,9919,0,654,264,0
250000,1,2,2,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
30000,1,3,1,50,0,0,0,0,0,-1,28339,24232,15626,1681,2000,0,0,1419,12000,0
130000,1,2,2,31,0,0,0,0,0,0,116437,112881,96191,4911,3533,3301,3607,5516,7020,0
20000,2,3,2,39,0,0,2,2,3,2,12241,16020,16457,4000,1000,4750,0,600,0,0
90000,2,1,2,28,-2,-2,-1,0,0,0,-1886,-2086,34347,0,36633,1328,11696,1350,1337,0
120000,2,1,2,29,-1,-1,-1,0,-1,-1,3945,5795,10863,5894,10863,0,1126,4802,9751,0
300000,2,2,1,36,0,0,0,0,0,0,141486,79474,80813,6000,5000,30303,2011,856,1010,0
230000,2,2,2,34,1,-2,-2,-2,-1,0,-2,-2,-2,0,0,0,796,2,0,0
60000,2,1,2,22,2,0,0,0,0,-1,58841,60970,58082,3700,1400,2000,500,30000,1100,1
70000,1,2,2,51,0,0,0,0,0,0,67880,66658,58486,3028,3199,1267,642,651,1665,0
20000,1,1,2,30,0,0,2,0,0,0,14406,20653,19995,6500,84,7171,1000,1000,2000,0
360000,2,2,2,35,-1,-1,-1,-1,-1,-1,61793,79467,26943,79651,26943,148307,71373,7406,3021,0
440000,2,1,1,37,-1,-1,0,-1,-1,-1,10858,46104,21349,50004,20000,12000,0,3773,0,0
1000000,2,1,1,47,0,0,0,-1,0,0,964511,983931,535020,50784,50723,896040,50000,50000,50256,0
150000,2,3,1,35,-1,-1,-1,-1,-1,-1,11500,4998,4996,4998,4996,5000,4998,49398,4552,0
140000,2,1,2,30,2,-1,-1,-1,-1,-1,1070,4593,4705,4593,4705,1710,0,6096,0,0
360000,2,1,2,27,1,-2,-1,-1,-1,-1,0,0,830,0,830,0,1271,179,1970,0
50000,1,3,2,41,0,0,2,0,0,0,22358,23257,23192,1900,1000,1500,891,1000,700,0
20000,2,2,1,24,-1,0,0,-1,-1,-1,10361,19566,8746,10000,1390,3355,7143,1288,0,0
380000,2,1,1,45,-1,-1,-1,-1,-2,-1,202,35993,86617,37791,86697,0,0,7102,159753,0
80000,2,2,2,37,0,0,0,0,0,0,21054,21776,22790,1365,1379,1000,1000,871,1000,0
30000,1,2,1,39,2,2,2,2,2,0,13888,16652,16087,3000,0,1500,0,1000,3500,1
50000,1,2,2,29,0,0,0,0,0,-2,32312,24213,24278,1700,2000,1300,0,0,0,0
70000,2,1,2,29,0,0,2,2,0,0,47310,51047,51727,4500,1813,0,2046,3300,900,0
210000,1,1,2,27,-1,0,0,0,0,0,25025,25336,26029,5000,4000,5000,3000,3000,3500,0
150000,2,3,1,43,0,0,0,0,0,-2,17541,19021,7861,2000,2000,2000,0,0,0,0
50000,2,3,1,39,0,0,0,0,0,0,41250,40813,10695,1501,1297,448,449,419,415,0
210000,1,1,2,33,1,-2,-2,-2,-1,-1,0,0,0,0,0,0,700,0,0,0
60000,1,2,2,30,0,0,0,2,2,2,15145,16618,18475,2000,2100,0,1500,0,1500,0
230000,2,2,2,42,0,0,0,0,0,0,64489,58611,54463,3100,5000,5000,10000,3000,5000,0
330000,2,1,1,29,-1,-1,-1,0,0,0,730,213,2368,213,2368,1000,190,0,0,0
30000,1,2,3,50,2,0,0,0,0,0,11479,12981,14450,2000,2000,693,2000,2500,668,1
20000,1,2,2,22,0,0,2,2,2,0,18743,19879,18872,3000,0,3000,0,1000,400,1
50000,2,2,2,41,2,2,2,2,2,2,5025,4805,46295,0,42000,1600,1500,2000,2000,1
140000,2,2,1,28,0,0,0,0,0,0,132070,134766,106450,6000,4000,4000,4000,4300,3600,0
200000,2,1,2,34,1,-2,-2,-1,2,2,0,0,0,0,0,347,0,2720,0,0
360000,2,1,1,39,-1,-1,-1,-1,-2,-2,7001,1224,394,1224,394,6,0,2205,401,0
30000,2,1,2,24,2,2,2,0,0,0,31202,32801,30092,2415,0,1045,915,1063,409,1
270000,1,2,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
60000,1,2,2,29,0,0,0,0,0,0,34081,23215,30340,2000,8565,969,1004,1000,900,0
100000,1,1,2,28,0,0,0,0,0,0,72970,100360,91329,30000,4094,2900,2850,3300,3123,0
230000,2,2,1,34,-2,-2,-2,-2,-2,-2,2329,1894,2528,1894,2532,1865,1496,1873,0,0
140000,1,2,2,32,0,0,0,0,0,0,31367,29652,30178,1614,10018,2009,1003,1017,1012,0
200000,1,1,2,28,-1,-1,-1,-1,-1,-1,508,10680,1190,10712,1194,527,4537,5538,3883,0
60000,2,3,1,59,0,0,0,0,-1,0,59174,60922,61800,3298,3000,0,51301,2029,2083,0
120000,2,1,2,29,-1,-1,-1,-2,-1,-1,1171,644,-155,1000,0,0,2530,542,922,0
80000,1,2,1,27,0,0,0,0,0,0,73000,71338,47202,5000,2000,1500,1500,2000,2000,0
250000,1,3,1,62,0,0,0,0,0,0,38924,38468,35930,5000,5000,5000,3000,2000,10000,0
200000,2,2,2,42,-1,-1,0,0,-2,-1,73032,12928,88930,12928,79365,30000,37861,18929,15004,0
260000,2,1,1,35,2,2,-2,-1,0,0,1013,0,0,0,0,6895,0,0,0,0
150000,2,1,2,32,0,0,0,0,0,0,83275,84220,77956,3006,3000,2000,222,11170,5000,0
380000,1,1,2,34,-2,-2,-2,-2,-2,-2,34869,6305,5736,6336,5766,904,16915,940,0,0
150000,2,1,2,37,1,-2,-1,0,0,0,0,0,584,0,584,12,0,0,0,0
200000,2,2,2,43,0,0,0,0,0,0,180680,184436,188181,8155,8302,7225,10153,6987,5262,0
60000,1,1,1,42,2,0,0,0,0,2,39986,41036,42449,2000,2100,1800,6000,0,2000,1
500000,2,1,1,44,-2,-1,0,0,0,-1,71921,367979,294969,368199,6486,234,90,167116,372495,0
360000,2,1,1,37,-1,2,2,-2,-2,-2,1605,1448,0,14,0,0,0,0,0,0
140000,1,1,2,41,2,2,2,0,0,0,138379,143684,139902,9000,0,6800,40000,5600,5900,1
310000,2,3,2,28,0,0,-1,-1,-1,-1,19610,14746,28216,10000,28216,4245,3500,396,396,0
30000,2,2,2,22,0,0,0,2,0,0,27444,29000,29886,2000,1800,0,1000,1000,0,0
90000,2,2,2,23,2,0,0,0,0,0,87669,86653,57819,3499,3000,3000,10000,2000,10000,1
400000,2,2,1,30,0,0,-1,-1,-1,-1,161226,139481,17939,5000,17939,12845,22728,11493,10703,0
100000,2,1,2,27,1,2,0,0,0,0,53213,50842,48205,6,2031,1800,2000,1900,2000,0
220000,1,2,1,38,0,0,0,0,0,0,147048,137560,131090,6364,5892,5000,4369,4178,5000,0
180000,2,1,2,26,1,-2,-2,-2,-1,-1,0,0,0,0,0,0,298,7550,0,0
240000,2,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,100000,0,0,0,0,0
40000,2,2,1,29,-1,0,0,-2,-2,-1,8801,9544,0,1000,0,0,0,7922,158,0
110000,2,2,1,42,-1,-1,-1,-1,-1,-1,776,776,776,776,776,776,926,776,776,0
130000,2,1,2,26,0,-1,-1,-1,-2,-2,20054,1298,6712,1298,6730,900,5448,0,25000,0
210000,2,1,2,31,0,0,0,0,0,0,121697,120133,118496,5000,5000,4036,5000,4000,4000,0
120000,2,2,2,28,1,2,2,2,2,2,108993,111266,112056,5500,4100,4087,400,4000,8932,0
210000,2,2,2,34,0,0,0,0,0,0,63672,57299,59336,2200,3000,3000,3000,3000,3500,0
20000,1,2,2,25,0,0,0,0,0,0,13610,14160,15200,1360,1400,0,3000,200,0,0
160000,2,2,2,23,0,0,2,2,0,0,122339,137278,136572,18518,3358,0,3200,8000,4366,0
300000,1,2,2,36,-1,0,0,-1,-1,-1,15536,17923,27007,10000,10140,360,257,21346,360,0
150000,2,2,1,36,0,0,0,0,0,0,296846,301634,314201,7143,13700,15000,7500,0,0,0
110000,1,3,1,40,0,0,0,0,0,0,93357,94938,79368,4100,2612,2666,2700,2659,2694,0
80000,2,2,2,28,0,-1,-1,0,0,0,18112,8857,69841,10084,79200,2108,2200,3006,2523,0
100000,1,2,2,29,0,0,0,-2,-2,-2,65324,11860,0,2106,0,0,0,0,0,0
100000,2,2,2,27,3,2,0,0,-1,-1,104489,101123,101600,0,4384,341,1075,1442,1396,1
